PromotionId,description,bad
1NWLAzBwCUadj2dLNYVrTib3XuTL0T,ซาลาปัง จัดใหญ่แทนใจคนที่คุณรัก,0
1NWLD3dp7tdq34WkgzQGLiPQM7dFC5,"ทะเลทะลัก!! สุดยอดบุฟเฟ่ต์ทะเล ที่คุณไม่ควรพลาด





ลดสูงสุด 60% จากราคา 1900 บาทสุทธิ! จองเลย


วันศุกร์และวันเสาร์ ตั้งแต่เวลา 18.00-22.00 น.


ราคานี้รวมชา กาแฟร้อนไม่อั้น น้ำอัดลม


สมาชิกแอคคอร์พลัสรับส่วนลดออนท็อปอีก 10%",0
1NWLCHgnVeBb2TIup13b1RSOLOl3Cq,"บัตรสมาชิก By อ.กุ้งเผาโคราช



บัตรสมาชิกจำหน่ายในราคา 149.-



เมื่อสมัครบัตร รับฟรี เครื่องดื่มเย็น 1 แก้ว (23 ออนซ์)







สิทธิ์พิเศษสำหรับบัตรสมาชิก



*รับส่วนลด 10% จากราคาปกติ



*(ยกเว้นเมนูโปรโมชั่นและเครื่องดื่ม)



*บัตรนี้ไม่สามารถใช้ร่วมกับรายการส่งเสริมการขายอื่นๆ ได้



*สามารถใช้ได้ที่ร้าน อ.กุ้งเผา ทุกสาขา



*กรณีใช้ร่วมกับบัตรเครดิตต่างๆ ไม่มีส่วนลด



*บัตรทีใช้ได้เมื่อชำระเป็นเงินสด และทานที่ร้านเท่านั้น



*บัตรสมาชิกจะมีอายุ 1 ปี หลังจากที่สมัคร",1
1NWLC9rEila7y7EyYKPp17zCMkjHs2,สาวกเพื่อสุขภาพครับ,1
1NWLCUe1qEBZtZEwInmjdBoce8XBF2,"วันเกิด แจ้งพนักงาน รับฟรีฮันนีโทส1จานค่ะ



",0
1NWLC9g0nfGqwDLV0jzcb8Q6Ys3ZBT,ร้านน่ารัก ๆ,1
1NWLAyIft6FUB8MT4aK0IKjLsaN70y,"โปรโมชั่นวันเกิด แสดงบัตรประจำตัวประชาชนตรงกับวันเกิดรับส่วนลดทันที 10% ไม่มีวันหมดอายุ!!!!


",0
1NWLBEnYhTJOdIuQCdW8RgVh5yXBDZ,ชานม,1
1NWLDLTHIVeRaUZVvLobx8BeU4nrw1,ซื้อ 10 แก้ว ฟรี 1 แก้วค่ะ 😁,1
1NWLCTNe0amJfILF8cozH9UUZEEmfR,"สลัดเป็ด ซอสส้ม


",1
1NWLDEU57oufwMaDzQbKkwNCIIhDqw,มาเถอะ เมนูหาเส้น,1
1NWLCLNFIulBmi0SiuTsWRAgDYVAYR,สั่งหอยแครงลวกวันนี้ ราคา 150บาท ลดทันที20% ค่ะ ฉะเพราะสาขา ชีคอนเท่านั้น,0
1NWLDCu3RlA3Y00U1h6SAUVpOlySfe,สะสมแสตมป์ 10 แก้ว รับฟรี 1 แก้ว,1
1NWLCI9jNUT0rDoCsJXQ9Sm7AQLH19,"โปรโมชั่นวันพุธ ซื้อเครื่องดื่ม 2 แก้ว เพียง 100 บาท 


ที่ร้านใบหอม @ ยูดีไลท์คอนโดห้วยขวาง ถ.ประชาอุทิศ


(ยกเว้นเมนูปั่น)",0
1NWLAZ8aVn5ddsOK0itV9hEfg3tFdv,ยำหัวปลี กับข้าวเกรียบ,1
